rank	taxid	name	clade_reads	direct_reads	percent
S	182337	Erwinia billingiae	1906	115	0.83
S1	634500	Erwinia billingiae Eb661	1791	1791	0.78
S	552	Erwinia amylovora	518	507	0.23
S1	889211	Erwinia amylovora ATCC BAA-2158	9	9	0.00
S1	1255303	Erwinia amylovora Ea356	2	2	0.00
S	338565	Erwinia tasmaniensis	137	0	0.06
S1	465817	Erwinia tasmaniensis Et1/99	137	137	0.06
S	79967	Erwinia pyrifoliae	19	19	0.01
G	2100764	Mixta	230	0	0.10
S	665913	Mixta calida	230	230	0.10
G	53335	Pantoea	105	0	0.05
S	55209	Pantoea cypripedii	95	95	0.04
S	66269	Pantoea stewartii	5	0	0.00
S1	66271	Pantoea stewartii subsp. stewartii	5	0	0.00
S2	660596	Pantoea stewartii subsp. stewartii DC283	5	5	0.00
G1	1654067	Pantoea agglomerans group	4	0	0.00
S	549	Pantoea agglomerans	4	0	0.00
S1	77834	Pantoea agglomerans pv. betae	4	4	0.00
S	470934	Pantoea vagans	1	0	0.00
S1	712898	Pantoea vagans C9-1	1	1	0.00
F	1903411	Yersiniaceae	1917	1	0.84
G	613	Serratia	1499	0	0.65
S	42906	Serratia entomophila	1484	1484	0.65
S	137545	Serratia quinivorans	10	10	0.00
S	2338073	Serratia inhibens	3	0	0.00
S1	1154756	Serratia inhibens PRI-2C	3	3	0.00
G1	2647522	unclassified Serratia (in: enterobacteria)	1	0	0.00
S	2482769	Serratia sp. P2ACOL2	1	1	0.00
S	61651	Serratia ficaria	1	1	0.00
G	1745211	Chania	205	0	0.09
S	1639108	Chania multitudinisentens	205	0	0.09
S1	1441930	Chania multitudinisentens RB-25	205	205	0.09
G	34037	Rahnella	112	0	0.05
S	58169	Rahnella inusitata	96	96	0.04
S	2816248	Rahnella bonaserana	16	16	0.01
G	629	Yersinia	63	0	0.03
S	2339259	Yersinia hibernica	62	62	0.03
G1	1649845	Yersinia pseudotuberculosis complex	1	1	0.00
G	929812	Gibbsiella	33	0	0.01
S	929813	Gibbsiella quercinecans	33	33	0.01
G	1964366	Nissabacter	4	0	0.00
G1	2636213	unclassified Nissabacter	4	0	0.00
S	2126321	Nissabacter sp. SGAir0207	4	4	0.00
F	1903410	Pectobacteriaceae	324	0	0.14
G	122277	Pectobacterium	259	4	0.11
S	180957	Pectobacterium brasiliense	251	251	0.11
S	554	Pectobacterium carotovorum	2	2	0.00
S	29471	Pectobacterium atrosepticum	1	1	0.00
S	78398	Pectobacterium odoriferum	1	1	0.00
G	204037	Dickeya	56	1	0.02
S	1778540	Dickeya fangzhongdai	54	54	0.02
S	204042	Dickeya zeae	1	1	0.00
G	2884243	Musicola	9	0	0.00
S	69223	Musicola paradisiaca	9	9	0.00
F	1903412	Hafniaceae	4	0	0.00
G	568	Hafnia	4	0	0.00
S	569	Hafnia alvei	4	4	0.00
F	1903414	Morganellaceae	3	0	0.00
G	626	Xenorhabdus	1	0	0.00
S	351671	Xenorhabdus doucetiae	1	1	0.00
G	637	Arsenophonus	1	1	0.00
G	29487	Photorhabdus	1	0	0.00
S	230089	Photorhabdus thracensis	1	1	0.00
F	1903416	Budviciaceae	1	0	0.00
G	82980	Leminorella	1	0	0.00
S	158841	Leminorella richardii	1	1	0.00
O	72274	Pseudomonadales	10609	0	4.63
F	135621	Pseudomonadaceae	10608	7	4.63
G	286	Pseudomonas	10318	81	4.51
G1	196821	unclassified Pseudomonas	3083	92	1.35
S	2730847	Pseudomonas sp. ADAK13	1256	1256	0.55
S	3019968	Pseudomonas sp. MM227	918	918	0.40
S	3136561	Pseudomonas sp. TMP25	117	117	0.05
S	2931382	Pseudomonas sp. PIA16	66	66	0.03
S	3048607	Pseudomonas sp. CCC3.1	61	61	0.03
S	2972478	Pseudomonas sp. LS1212	43	43	0.02
S	2866808	Pseudomonas sp. MM211	42	42	0.02
S	1855380	Pseudomonas sp. Z003-0.4C(8344-21)	38	38	0.02
S	1898684	Pseudomonas sp. LPH1	32	32	0.01
S	2735906	Pseudomonas sp. B11D7D	28	28	0.01
S	2855434	Pseudomonas sp. AO-1	27	27	0.01
S	2895473	Pseudomonas sp. B21-015	24	24	0.01
S	3048613	Pseudomonas sp. CCI1.1	22	22	0.01
S	253237	Pseudomonas sp. phDV1	22	22	0.01
S	2961531	Pseudomonas sp. KHPS1	21	21	0.01
S	2664899	Pseudomonas sp. CFSAN084952	21	21	0.01
S	2954094	Pseudomonas sp. FP453	21	21	0.01
S	2730848	Pseudomonas sp. ADAK18	18	18	0.01
S	2921518	Pseudomonas sp. FSL L8-0168	18	18	0.01
S	2895490	Pseudomonas sp. B21-048	16	16	0.01
S	2986947	Pseudomonas sp. WJP1	14	14	0.01
S	2962597	Pseudomonas sp. Z8(2022)	10	10	0.00
S	2605424	Pseudomonas sp. J380	9	9	0.00
S	306	Pseudomonas sp.	8	8	0.00
S	1856685	Pseudomonas sp. TCU-HL1	6	6	0.00
S	3137451	Pseudomonas sp. G.S.17	6	6	0.00
S	3020843	Pseudomonas sp. Q1-7	6	6	0.00
S	3110772	Pseudomonas sp. IT1137	5	5	0.00
S	2866592	Pseudomonas sp. Marseille-Q3773	5	5	0.00
S	2678259	Pseudomonas sp. Seg1	4	4	0.00
S	2971912	Pseudomonas sp. CBS	4	4	0.00
S	1827300	Pseudomonas sp. MYb193	4	4	0.00
S	2871095	Pseudomonas sp. DR48	4	4	0.00
S	3048583	Pseudomonas sp. 10S4	4	4	0.00
S	2998079	Pseudomonas sp. GOM7	3	3	0.00
S	1206777	Pseudomonas sp. Lz4W	3	3	0.00
S	1027966	Pseudomonas sp. HR96	3	3	0.00
S	2073078	Pseudomonas sp. DTU12.3	3	3	0.00
S	2976884	Pseudomonas sp. FJ2-5-13	3	3	0.00
S	2973088	Pseudomonas sp. BW7P1	3	3	0.00
S	2983246	Pseudomonas sp. SO81	2	2	0.00
S	2954096	Pseudomonas sp. FP597	2	2	0.00
S	3038925	Pseudomonas sp. 905_Psudmo1	2	2	0.00
S	3002903	Pseudomonas sp. BSw22131	2	2	0.00
S	1506334	Pseudomonas sp. G2-4	2	2	0.00
S	3074146	Pseudomonas sp. SG20056	2	2	0.00
S	1534110	Pseudomonas sp. DR 5-09	2	2	0.00
S	2219057	Pseudomonas sp. LG1E9	2	2	0.00
S	1294143	Pseudomonas sp. ATCC 13867	2	2	0.00
S	2893890	Pseudomonas sp. KNUC1026	2	2	0.00
S	2874628	Pseudomonas sp. p1(2021b)	2	2	0.00
S	2954079	Pseudomonas sp. FP1742	2	2	0.00
S	2748080	Pseudomonas sp. ABC1	1	1	0.00
S	2604941	Pseudomonas sp. C27(2019)	1	1	0.00
S	2614442	Pseudomonas sp. LPB0260	1	1	0.00
S	2871493	Pseudomonas sp. SC3(2021)	1	1	0.00
S	2870840	Pseudomonas sp. DR208	1	1	0.00
S	1981174	Pseudomonas sp. M30-35	1	1	0.00
S	2895486	Pseudomonas sp. B21-040	1	1	0.00
S	3029060	Pseudomonas sp. PSKL.D1	1	1	0.00
S	2829498	Pseudomonas sp. JS425	1	1	0.00
S	2895493	Pseudomonas sp. B21-053	1	1	0.00
S	2898483	Pseudomonas sp. 7-41	1	1	0.00
S	2804761	Pseudomonas sp. 15A4	1	1	0.00
S	2749808	Pseudomonas sp. Y5-11	1	1	0.00
S	2986927	Pseudomonas sp. BT-42-2	1	1	0.00
S	3016341	Pseudomonas sp. PSE14	1	1	0.00
S	3003351	Pseudomonas sp. GXZC	1	1	0.00
S	3141539	Pseudomonas sp. F3-2	1	1	0.00
S	2738126	Pseudomonas sp. FP215	1	1	0.00
S	2994661	Pseudomonas sp. SL4(2022)	1	1	0.00
S	2991051	Pseudomonas sp. KU26590	1	1	0.00
S	2954087	Pseudomonas sp. FP2254	1	1	0.00
S	2705472	Pseudomonas sp. MTM4	1	1	0.00
S	2697023	Pseudomonas sp. AN-B15	1	1	0.00
S	2320270	Pseudomonas sp. DG56-2	1	1	0.00
S	2678260	Pseudomonas sp. Ost2	1	1	0.00
S	2954093	Pseudomonas sp. FP2338	1	1	0.00
S	3094846	Pseudomonas sp. G166	1	1	0.00
S	1573718	Pseudomonas sp. S34	1	1	0.00
S	3074147	Pseudomonas sp. SG20052	1	1	0.00
S	517398	Pseudomonas sp. D3	1	1	0.00
S	528343	Pseudomonas sp. G11	1	1	0.00
S	3077589	Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001	1	1	0.00
S	3087234	Pseudomonas sp. MUP55	1	1	0.00
S	3090665	Pseudomonas sp. JS3066	1	1	0.00
S	1283291	Pseudomonas sp. URMO17WK12:I11	1	1	0.00
S	520056	Pseudomonas sp. P13	1	1	0.00
S	1207075	Pseudomonas sp. UW4	1	1	0.00
S	1173288	Pseudomonas sp. R4-39-08	1	1	0.00
S	1173284	Pseudomonas sp. R3-52-08	1	1	0.00
S	658630	Pseudomonas sp. CMR5c	1	1	0.00
S	3118752	Pseudomonas sp. WP18	1	1	0.00
S	1173270	Pseudomonas sp. R1-43-08	1	1	0.00
S	1028989	Pseudomonas sp. StFLB209	1	1	0.00
S	658644	Pseudomonas sp. R5-89-07	1	1	0.00
S	3048622	Pseudomonas sp. DC1.2	1	1	0.00
S	1758730	Pseudomonas sp. BIOMIG1BAC	1	1	0.00
S	1702250	Pseudomonas sp. IB20	1	1	0.00
S	3127459	Pseudomonas sp. RSB 5.4	1	1	0.00
S	3043448	Pseudomonas sp. P9_31	1	1	0.00
S	640205	Pseudomonas seleniipraecipitans	1101	1101	0.48
G1	136843	Pseudomonas fluorescens group	947	0	0.41
S	29442	Pseudomonas tolaasii	506	506	0.22
S	183795	Pseudomonas mediterranea	126	126	0.06
S	76761	Pseudomonas veronii	109	109	0.05
S	47878	Pseudomonas azotoformans	72	72	0.03
S	47879	Pseudomonas corrugata	56	56	0.02
S	75612	Pseudomonas mandelii	35	35	0.02
S	76758	Pseudomonas orientalis	18	18	0.01
S	47883	Pseudomonas synxantha	15	15	0.01
S	294	Pseudomonas fluorescens	4	3	0.00
S1	1221522	Pseudomonas fluorescens NCIMB 11764	1	1	0.00
S	129817	Pseudomonas brenneri	2	2	0.00
S	1421430	Pseudomonas granadensis	1	1	0.00
S	200450	Pseudomonas trivialis	1	1	0.00
S	198620	Pseudomonas koreensis	1	1	0.00
S	46679	Pseudomonas mucidolens	1	1	0.00
G1	136845	Pseudomonas putida group	632	0	0.28
S	1785161	Pseudomonas wadenswilerensis	572	572	0.25
S	303	Pseudomonas putida	39	18	0.02
S1	1081940	Pseudomonas putida B6-2	21	21	0.01
S	47880	Pseudomonas fulva	20	0	0.01
S1	743720	Pseudomonas fulva 12-X	20	20	0.01
S	47885	Pseudomonas oryzihabitans	1	1	0.00
S	1691904	Pseudomonas sediminis	574	574	0.25
G1	136849	Pseudomonas syringae group	453	26	0.20
S	33069	Pseudomonas viridiflava	402	402	0.18
S	46257	Pseudomonas avellanae	17	17	0.01
G2	251695	Pseudomonas syringae group genomosp. 1	8	0	0.00
S	317	Pseudomonas syringae	8	0	0.00
S1	264449	Pseudomonas syringae group pathovars incertae sedis	7	0	0.00
S2	103796	Pseudomonas syringae pv. actinidiae	7	3	0.00
S3	1108972	Pseudomonas syringae pv. actinidiae str. Shaanxi_M228	4	4	0.00
S1	321	Pseudomonas syringae pv. syringae	1	1	0.00
S	2842357	Pseudomonas muyukensis	438	438	0.19
G1	136841	Pseudomonas aeruginosa group	397	2	0.17
S	53408	Pseudomonas citronellolis	312	312	0.14
G2	1232139	Pseudomonas oleovorans/pseudoalcaligenes group	33	0	0.01
S	301	Pseudomonas oleovorans	32	7	0.01
S1	1182590	Pseudomonas oleovorans CECT 5344	25	25	0.01
S	1149133	Pseudomonas furukawaii	1	1	0.00
S	300	Pseudomonas mendocina	25	9	0.01
S1	1001585	Pseudomonas mendocina NK-01	15	15	0.01
S1	1225174	Pseudomonas mendocina S5.2	1	1	0.00
S	287	Pseudomonas aeruginosa	23	23	0.01
S	53412	Pseudomonas resinovorans	2	0	0.00
S1	1245471	Pseudomonas resinovorans NBRC 106553	2	2	0.00
S	2604832	Pseudomonas lalkuanensis	395	395	0.17
S	359110	Pseudomonas extremaustralis	344	344	0.15
S	2842354	Pseudomonas maumuensis	309	309	0.13
S	1392877	Pseudomonas oryzae	179	179	0.08
S	1198456	Pseudomonas guguanensis	173	173	0.08
S	2745514	Pseudomonas salmasensis	168	168	0.07
S	2599595	Pseudomonas eucalypticola	104	104	0.05
S	2745510	Pseudomonas zeae	103	103	0.04
S	163011	Pseudomonas lini	100	100	0.04
S	489632	Pseudomonas chengduensis	82	82	0.04
S	2842355	Pseudomonas fakonensis	69	69	0.03
S	2774460	Pseudomonas allokribbensis	61	61	0.03
S	2745495	Pseudomonas vanderleydeniana	45	45	0.02
S	122355	Pseudomonas psychrophila	44	44	0.02
S	2894079	Pseudomonas oryziphila	44	44	0.02
S	2518644	Pseudomonas tructae	36	36	0.02
S	2505979	Pseudomonas viciae	33	33	0.01
S	554344	Pseudomonas toyotomiensis	32	32	0.01
S	65741	Pseudomonas knackmussii	27	27	0.01
G1	136842	Pseudomonas chlororaphis group	27	0	0.01
S	587753	Pseudomonas chlororaphis	16	9	0.01
S1	86192	Pseudomonas chlororaphis subsp. aurantiaca	5	5	0.00
S1	587851	Pseudomonas chlororaphis subsp. aureofaciens	2	2	0.00
S	380021	Pseudomonas protegens	10	10	0.00
S	2614538	Pseudomonas piscis	1	1	0.00
S	2213015	Pseudomonas sichuanensis	26	26	0.01
S	2011015	Pseudomonas laurylsulfatiphila	23	23	0.01
S	2906062	Pseudomonas wenzhouensis	22	22	0.01
S	198618	Pseudomonas umsongensis	21	21	0.01
S	1148509	Pseudomonas prosekii	21	21	0.01
S	216142	Pseudomonas rhizosphaerae	16	16	0.01
S	219572	Pseudomonas antarctica	12	12	0.01
S	1274359	Pseudomonas sihuiensis	10	10	0.00
S	2812000	Pseudomonas hygromyciniae	8	8	0.00
S	2842349	Pseudomonas asgharzadehiana	8	8	0.00
S	1245526	Pseudomonas guangdongensis	7	7	0.00
S	3040598	Pseudomonas paraveronii	7	7	0.00
S	2731681	Pseudomonas campi	6	6	0.00
S	2493633	Pseudomonas hydrolytica	6	6	0.00
S	2745490	Pseudomonas xantholysinigenes	5	5	0.00
S	101564	Pseudomonas alcaliphila	5	0	0.00
S1	741155	Pseudomonas alcaliphila JAB1	5	5	0.00
S	2961893	Pseudomonas triclosanedens	4	4	0.00
S	2745504	Pseudomonas hamedanensis	3	3	0.00
S	312306	Pseudomonas entomophila	3	3	0.00
S	2726956	Pseudomonas berkeleyensis	2	2	0.00
S	1302376	Candidatus Pseudomonas adelgestsugas	2	2	0.00
S	2867264	Pseudomonas phytophila	2	2	0.00
S	2842350	Pseudomonas azerbaijanorientalis	2	2	0.00
S	515393	Pseudomonas yamanorum	2	2	0.00
S	2684212	Pseudomonas izuensis	2	2	0.00
S	2842356	Pseudomonas xanthosomatis	1	1	0.00
S	2746321	Pseudomonas phenolilytica	1	1	0.00
S	2364649	Pseudomonas laurentiana	1	1	0.00
S	2954082	Pseudomonas cucumis	1	1	0.00
S	1880678	Pseudomonas sivasensis	1	1	0.00
S	1853130	Pseudomonas silesiensis	1	1	0.00
S	47884	Pseudomonas taetrolens	1	1	0.00
S	95300	Pseudomonas vancouverensis	1	1	0.00
S	237610	Pseudomonas psychrotolerans	1	1	0.00
G1	62104	environmental samples	1	0	0.00
S	114707	uncultured Pseudomonas sp.	1	1	0.00
S	237609	Pseudomonas alkylphenolica	1	1	0.00
S	1163398	Pseudomonas donghuensis	1	1	0.00
G	2901164	Stutzerimonas	208	0	0.09
S	3022791	Stutzerimonas decontaminans	114	114	0.05
S	271420	Stutzerimonas xanthomarina	74	74	0.03
G1	136846	Stutzerimonas stutzeri group	20	0	0.01
G2	578833	Stutzerimonas stutzeri subgroup	20	0	0.01
S	316	Stutzerimonas stutzeri	20	7	0.01
S1	644801	Stutzerimonas stutzeri RCH2	13	13	0.01
G	2901189	Halopseudomonas	72	1	0.03
S	797277	Halopseudomonas litoralis	63	63	0.03
S	487184	Halopseudomonas xinjiangensis	4	4	0.00
S	553151	Halopseudomonas pelagia	3	3	0.00
S	1708783	Halopseudomonas oceani	1	1	0.00
G	1654787	Thiopseudomonas	2	0	0.00
S	1697053	Thiopseudomonas alkaliphila	2	2	0.00
F1	351	Azotobacter group	1	0	0.00
G	352	Azotobacter	1	1	0.00
F	2887365	Marinobacteraceae	1	0	0.00
G	2742	Marinobacter	1	0	0.00
G1	83889	unclassified Marinobacter	1	0	0.00
S	2547598	Marinobacter sp. JH2	1	1	0.00
O	135614	Lysobacterales	9323	2	4.07
F	32033	Lysobacteraceae	7561	0	3.30
G	40323	Stenotrophomonas	4932	151	2.15
G1	196198	unclassified Stenotrophomonas	4649	7	2.03
S	1904944	Stenotrophomonas sp. LM091	4242	4242	1.85
S	3027225	Stenotrophomonas sp. BIO128-Bstrain	249	249	0.11
S	2775920	Stenotrophomonas sp. CW117	105	105	0.05
S	3051123	Stenotrophomonas sp. 17(2023)	24	24	0.01
S	3068324	Stenotrophomonas sp. 24(2023)	11	11	0.00
S	3055080	Stenotrophomonas sp. 610A2	9	9	0.00
S	2691571	Stenotrophomonas sp. 364	2	2	0.00
S	128780	Stenotrophomonas acidaminiphila	118	118	0.05
G1	995085	Stenotrophomonas maltophilia group	11	1	0.00
G2	2961925	unclassified Stenotrophomonas maltophilia group	7	4	0.00
S	2072413	Stenotrophomonas sp. SAU14A_NAIMI4_5	2	2	0.00
S	2072405	Stenotrophomonas sp. ZAC14D2_NAIMI4_7	1	1	0.00
S	40324	Stenotrophomonas maltophilia	3	3	0.00
S	216778	Stenotrophomonas rhizophila	3	3	0.00
G	68	Lysobacter	1069	1	0.47
S	2822368	Lysobacter luteus	631	631	0.28
S	69	Lysobacter enzymogenes	198	198	0.09
S	262324	Lysobacter gummosus	129	129	0.06
S	2795387	Lysobacter arenosi	54	54	0.02
S	2698682	Lysobacter oculi	34	34	0.01
S	435897	Lysobacter capsici	15	15	0.01
G1	2635362	unclassified Lysobacter	5	0	0.00
S	2290922	Lysobacter sp. TY2-98	5	5	0.00
S	84531	Lysobacter antibioticus	2	2	0.00
G	83618	Pseudoxanthomonas	872	1	0.38
S	415229	Pseudoxanthomonas spadix	674	0	0.29
S1	1045855	Pseudoxanthomonas spadix BD-a59	674	674	0.29
S	314722	Pseudoxanthomonas suwonensis	197	3	0.09
S1	743721	Pseudoxanthomonas suwonensis 11-1	194	194	0.08
G	338	Xanthomonas	310	2	0.14
S	3046274	Xanthomonas rydalmerensis	123	123	0.05
S	56464	Xanthomonas theicola	65	65	0.03
G1	643453	Xanthomonas citri group	50	0	0.02
S	346	Xanthomonas citri	50	0	0.02
S1	454594	Xanthomonas citri pv. mangiferaeindicae	46	46	0.02
S1	76802	Xanthomonas citri pv. aurantifolii	4	4	0.00
S	56454	Xanthomonas hortorum	22	0	0.01
S1	453602	Xanthomonas hortorum pv. pelargonii	22	22	0.01
S	1985254	Xanthomonas phaseoli	18	0	0.01
S1	317013	Xanthomonas phaseoli pv. phaseoli	18	18	0.01
S	339	Xanthomonas campestris	17	16	0.01
S1	92826	Xanthomonas campestris pv. incanae	1	1	0.00
S	56458	Xanthomonas sacchari	5	5	0.00
S	29447	Xanthomonas albilineans	4	4	0.00
G1	2643310	unclassified Xanthomonas	2	1	0.00
S	2971236	Xanthomonas sp. CFBP 8445	1	1	0.00
S	347	Xanthomonas oryzae	1	0	0.00
S1	129394	Xanthomonas oryzae pv. oryzicola	1	1	0.00
S	442694	Xanthomonas perforans	1	1	0.00
G	490567	Arenimonas	204	0	0.09
S	370777	Arenimonas daejeonensis	204	204	0.09
G	83614	Luteimonas	141	0	0.06
S	1176533	Luteimonas granuli	72	72	0.03
S	2565782	Luteimonas yindakuii	69	69	0.03
G	2709666	Pseudolysobacter	30	0	0.01
S	2511995	Pseudolysobacter antarcticus	30	30	0.01
G	141948	Thermomonas	2	0	0.00
S	2202149	Thermomonas aquatica	2	2	0.00
G	2370	Xylella	1	0	0.00
S	2371	Xylella fastidiosa	1	1	0.00
F	1775411	Rhodanobacteraceae	1760	2	0.77
G	75309	Rhodanobacter	944	26	0.41
S	416169	Rhodanobacter thiooxydans	459	459	0.20
G1	2621553	unclassified Rhodanobacter	241	3	0.11
S	2778082	Rhodanobacter sp. FDAARGOS 1247	178	178	0.08
S	3031330	Rhodanobacter sp. AS-Z3	60	60	0.03
S	666685	Rhodanobacter denitrificans	193	193	0.08
S	582702	Rhodanobacter glycinis	25	25	0.01
G	70411	Frateuria	788	0	0.34
S	81475	Frateuria aurantia	552	0	0.24
S1	767434	Frateuria aurantia DSM 6220	552	552	0.24
S	2898793	Frateuria edaphi	236	236	0.10
G	231454	Dyella	15	0	0.01
S	231455	Dyella japonica	6	0	0.00
S1	1217721	Dyella japonica A8	6	6	0.00
G1	2634549	unclassified Dyella	5	0	0.00
S	2994496	Dyella sp. GSA-30	4	4	0.00
S	2501295	Dyella sp. M7H15-1	1	1	0.00
S	445710	Dyella thiooxydans	2	2	0.00
S	2763498	Dyella telluris	2	2	0.00
G	242605	Luteibacter	11	0	0.00
S	2911538	Luteibacter aegosomaticola	9	9	0.00
S	242606	Luteibacter rhizovicinus	1	0	0.00
S1	1440763	Luteibacter rhizovicinus DSM 16549	1	1	0.00
S	2780091	Luteibacter flocculans	1	1	0.00
O	2887326	Moraxellales	8701	0	3.80
F	468	Moraxellaceae	8701	0	3.80
G	469	Acinetobacter	8632	125	3.77
S	280145	Acinetobacter colistiniresistens	1588	1588	0.69
S	756892	Acinetobacter indicus	1327	1327	0.58
G1	196816	unclassified Acinetobacter	1290	201	0.56
S	2950074	Acinetobacter sp. C32I	473	473	0.21
S	1608473	Acinetobacter sp. NCu2D-2	122	122	0.05
S	1646498	Acinetobacter sp. TTH0-4	68	68	0.03
S	3120518	Acinetobacter sp. KS-LM10	52	52	0.02
S	2609668	Acinetobacter sp. C16S1	48	48	0.02
S	2930198	Acinetobacter sp. PK01	35	35	0.02
S	2908637	Acinetobacter sp. SCLZS86	33	33	0.01
S	2929515	Acinetobacter sp. YH12068_T	30	30	0.01
S	2953738	Acinetobacter sp. Z1	30	30	0.01
S	1758189	Acinetobacter sp. ACNIH2	29	29	0.01
S	1827285	Acinetobacter sp. MYb10	19	19	0.01
S	1407071	Acinetobacter sp. TGL-Y2	18	18	0.01
S	2798861	Acinetobacter sp. CS-2	17	17	0.01
S	2004647	Acinetobacter sp. WCHAc010052	16	16	0.01
S	2714110	Acinetobacter sp. Marseille-Q1620	13	13	0.01
S	2004646	Acinetobacter sp. WCHA55	10	10	0.00
S	1808001	Acinetobacter sp. LoGeW2-3	10	10	0.00
S	2983215	Acinetobacter sp. ESL0695	10	10	0.00
S	3035288	Acinetobacter sp. ANC 7201	8	8	0.00
S	2905879	Acinetobacter sp. SH20PTE14	7	7	0.00
S	3003392	Acinetobacter sp. TR3	7	7	0.00
S	2004644	Acinetobacter sp. WCHA45	6	6	0.00
S	3003393	Acinetobacter sp. TR11	6	6	0.00
S	2563897	Acinetobacter sp. 10FS3-1	6	6	0.00
S	3045147	Acinetobacter sp. KCTC 92772	5	5	0.00
S	2601122	Acinetobacter sp. YH12138	2	2	0.00
S	2853158	Acinetobacter sp. F9	2	2	0.00
S	3020716	Acinetobacter sp. GSS19	2	2	0.00
S	2929514	Acinetobacter sp. YH16056_T	2	2	0.00
S	2913495	Acinetobacter sp. AHP123	2	2	0.00
S	1879049	Acinetobacter sp. WCHAc010034	1	1	0.00
S	2004650	Acinetobacter chinensis	1240	1240	0.54
S	1871111	Acinetobacter defluvii	969	969	0.42
S	2006115	Acinetobacter piscicola	525	525	0.23
S	1776741	Acinetobacter proteolyticus	334	334	0.15
G1	909768	Acinetobacter calcoaceticus/baumannii complex	287	92	0.13
S	48296	Acinetobacter pittii	113	113	0.05
S	470	Acinetobacter baumannii	72	71	0.03
S1	1401639	Acinetobacter baumannii NCGM 237	1	1	0.00
S	471	Acinetobacter calcoaceticus	7	7	0.00
S	1530123	Acinetobacter seifertii	2	2	0.00
S	106654	Acinetobacter nosocomialis	1	1	0.00
S	1879050	Acinetobacter wuhouensis	246	246	0.11
S	2715164	Acinetobacter shaoyimingii	232	232	0.10
S	52133	Acinetobacter venetianus	224	0	0.10
S1	1197884	Acinetobacter venetianus VE-C3	224	224	0.10
S	28090	Acinetobacter lwoffii	47	47	0.02
S	40214	Acinetobacter johnsonii	39	38	0.02
S1	1242245	Acinetobacter johnsonii XBB1	1	1	0.00
S	1324350	Acinetobacter equi	36	36	0.02
S	70348	Acinetobacter dispersus	31	31	0.01
S	2662362	Acinetobacter wanghuae	23	23	0.01
S	108981	Acinetobacter schindleri	18	18	0.01
S	1776742	Acinetobacter vivianii	18	18	0.01
S	487316	Acinetobacter soli	12	12	0.01
S	2136182	Acinetobacter cumulans	7	7	0.00
S	202951	Acinetobacter bouvetii	5	5	0.00
S	29430	Acinetobacter haemolyticus	2	2	0.00
