abundance	clade_fragments_covered	number_fragments_assigned	rank	taxid	name
0.0	6.0	6.0	S	471	Acinetobacter calcoaceticus
0.0	1.0	1.0	S	472	Acinetobacter sp.
0.18	9101.0	8955.0	S	332249	Truepera radiovictrix
0.0	10.0	10.0	S	485	Neisseria gonorrhoeae
0.0	3.0	0.0	S	487	Neisseria meningitidis
0.0	12.0	12.0	S	207340	Roseomonas mucosa
0.0	1.0	1.0	S	493	Neisseria canis
0.0	71.0	71.0	S	78327	Pseudomonas mosselii
0.0	24.0	24.0	S	511	Alcaligenes faecalis
0.0	10.0	10.0	S	518	Bordetella bronchiseptica
0.0	2.0	0.0	S	519	Bordetella parapertussis
0.0	2.0	2.0	S	520	Bordetella pertussis
0.0	9.0	9.0	S	521	Bordetella avium
0.0	1.0	1.0	S1	1045010	Escherichia coli O157
0.0	7.0	5.0	S	168471	Laribacter hongkongensis
0.0	213.0	194.0	S	536	Chromobacterium violaceum
0.0	3.0	3.0	S	539	Eikenella corrodens
0.0	6.0	6.0	S	545	Citrobacter koseri
0.0	1.0	1.0	S	195105	Haematobacter massiliensis
0.0	49.0	49.0	S	548	Klebsiella aerogenes
0.0	23.0	23.0	S	549	Pantoea agglomerans
0.0	52.0	45.0	S	550	Enterobacter cloacae
0.0	12.0	12.0	S	553	Pantoea ananatis
0.0	1.0	1.0	S	2607663	Yersinia canariae
0.0	23.0	23.0	S	564	Escherichia fergusonii
0.0	3.0	3.0	S	565	Atlantibacter hermannii
0.0	3.0	3.0	S	566	Pseudescherichia vulneris
0.0	44.0	44.0	S	571	Klebsiella oxytoca
0.0	5.0	5.0	S	47678	Bacteroides caccae
0.0	19.0	19.0	S	575	Raoultella planticola
0.0	16.0	16.0	S	580	Kluyvera cryocrescens
0.0	16.0	14.0	S	582	Morganella morganii
0.0	12.0	12.0	S	584	Proteus mirabilis
0.0	6.0	6.0	S	587	Providencia rettgeri
0.0	3.0	3.0	S	588	Providencia stuartii
0.0	2.0	0.0	S	152142	Mycolicibacterium holsaticum
0.0	4.0	1.0	S1	1038927	Escherichia coli O104:H4
0.0	2.0	2.0	S	524884	Saccharopolyspora rosea
0.0	11.0	11.0	S	1563222	Citrobacter pasteurii
0.05	2539.0	2539.0	S	146017	Mycolicibacterium boenickei
0.0	5.0	4.0	S	614	Serratia liquefaciens
0.0	16.0	15.0	S	615	Serratia marcescens
0.0	1.0	1.0	S	618	Serratia odorifera
0.0	24.0	24.0	S	881260	Enterobacter bugandensis
0.0	112.0	112.0	S	82541	Cupriavidus gilardii
0.0	36.0	35.0	S	622	Shigella dysenteriae
0.0	49.0	36.0	S	623	Shigella flexneri
0.0	14.0	14.0	S	624	Shigella sonnei
0.0	15.0	14.0	S	621	Shigella boydii
0.0	9.0	4.0	S	84595	Gordonia polyisoprenivorans
0.0	10.0	10.0	S	630	Yersinia enterocolitica
0.0	2.0	2.0	S	631	Yersinia intermedia
0.0	12.0	0.0	S	632	Yersinia pestis
0.0	1.0	1.0	S	633	Yersinia pseudotuberculosis
0.0	11.0	7.0	S	57975	Burkholderia thailandensis
0.04	2133.0	1735.0	S	47735	Bibersteinia trehalosi
0.0	3.0	3.0	S	636	Edwardsiella tarda
0.0	2.0	0.0	S	29311	Mycobacterium haemophilum
0.0	10.0	9.0	S	644	Aeromonas hydrophila
0.0	17.0	15.0	S	645	Aeromonas salmonicida
0.0	14.0	14.0	S	648	Aeromonas caviae
0.0	2.0	2.0	S	650	Aeromonas jandaei
0.0	3.0	3.0	S	652	Aeromonas schubertii
0.0	12.0	11.0	S	654	Aeromonas veronii
0.0	53.0	45.0	S	244366	Klebsiella variicola
0.0	2.0	2.0	S	663	Vibrio alginolyticus
0.0	6.0	5.0	S	666	Vibrio cholerae
0.0	8.0	8.0	S	669	Vibrio harveyi
0.0	4.0	4.0	S	670	Vibrio parahaemolyticus
0.0	3.0	2.0	S	672	Vibrio vulnificus
0.0	2.0	2.0	S	675	Vibrio cincinnatiensis
0.0	1.0	1.0	S	676	Vibrio fluvialis
0.0	1.0	0.0	S	428712	Jonquetella anthropi
0.0	7.0	7.0	S	2480810	Pseudoxanthomonas winnipegensis
0.0	2.0	2.0	S	2738	Vagococcus fluvialis
0.0	6.0	6.0	S	703	Plesiomonas shigelloides
0.0	1.0	1.0	S	400065	Streptococcus merionis
0.0	1.0	1.0	S	160453	Enterococcus gilvus
0.0	26.0	26.0	S	225992	Comamonas kerstersii
0.0	13.0	13.0	S	82633	Cupriavidus pauculus
0.0	2.0	1.0	S	714	Aggregatibacter actinomycetemcomitans
0.0	3.0	3.0	S	715	Actinobacillus pleuropneumoniae
0.0	2.0	2.0	S	29388	Staphylococcus capitis
0.0	3.0	3.0	S	70346	Acinetobacter variabilis
0.0	1.0	0.0	S	718	Actinobacillus equuli
0.0	2.0	2.0	S	720	Actinobacillus lignieresii
0.0	1.0	1.0	S	29394	Dolosigranulum pigrum
0.0	2.0	2.0	S	727	Haemophilus influenzae
0.0	1.0	1.0	S	730	[Haemophilus] ducreyi
0.0	13.0	13.0	S	731	Histophilus somni
0.0	1.0	1.0	S	732	Aggregatibacter aphrophilus
0.0	136.0	134.0	S	738	Glaesserella parasuis
0.0	1.0	0.0	S	747	Pasteurella multocida
0.0	16.0	16.0	S	29430	Acinetobacter haemolyticus
0.0	8.0	8.0	S	43767	Prescottella equi
0.0	4.0	4.0	S	43771	Corynebacterium urealyticum
0.01	349.0	349.0	S	105219	Ralstonia mannitolilytica
0.0	83.0	29.0	S	47880	Pseudomonas fulva
0.0	17.0	17.0	S	47885	Pseudomonas oryzihabitans
0.0	1.0	1.0	S	47886	Pseudomonas luteola
0.0	12.0	12.0	S	39695	Mycolicibacterium tokaiense
0.0	17.0	17.0	S	39694	Mycolicibacterium poriferae
0.0	1.0	1.0	S	13076	Globicatella sanguinis
0.0	1.0	1.0	S	29461	Brucella suis
0.0	3.0	3.0	S	480035	Nocardia wallacei
0.0	3.0	3.0	S	29484	Yersinia frederiksenii
0.0	2.0	2.0	S	47917	Serratia fonticola
0.0	3.0	3.0	S	29486	Yersinia ruckeri
0.0	11.0	11.0	S	818	Bacteroides thetaiotaomicron
0.0	5.0	5.0	S	823	Parabacteroides distasonis
0.0	1.0	1.0	S	824	Campylobacter gracilis
0.0	6.0	6.0	S	1585976	Bergeyella cardium
0.0	3.0	3.0	S	291644	Bacteroides salyersiae
0.0	1.0	1.0	S	291645	Bacteroides nordii
0.0	4.0	4.0	S	590652	Mycobacterium paraseoulense
0.0	1.0	1.0	S	254785	Streptococcus halichoeri
0.0	1.0	1.0	S	837	Porphyromonas gingivalis
0.0	33.0	33.0	S	851	Fusobacterium nucleatum
0.0	11.0	11.0	S	1545044	Paracoccus sanguinis
0.0	3.0	3.0	S	859	Fusobacterium necrophorum
0.0	34.0	34.0	S	860	Fusobacterium periodonticum
0.0	1.0	1.0	S	870	Dichelobacter nodosus
0.0	1.0	1.0	S	37734	Enterococcus casseliflavus
0.0	18.0	18.0	S	876	Desulfovibrio desulfuricans
0.0	104.0	104.0	S	72557	Achromobacter ruhlandii
0.0	15.0	10.0	S	35703	Citrobacter amalonaticus
0.0	12.0	12.0	S	1241978	Chryseobacterium bernardetii
0.0	77.0	67.0	S	1463165	Klebsiella quasipneumoniae
0.0	7.0	7.0	S	1241982	Chryseobacterium nakagawai
0.0	1.0	1.0	S	465797	Acinetobacter septicus
0.0	1.0	1.0	S	2587529	Klebsiella pasteurii
0.0	2.0	2.0	S	134034	Corynebacterium freneyi
0.0	2.0	2.0	S	357276	Phocaeicola dorei
0.0	1.0	1.0	S	109472	Bisgaardia hudsonensis
0.0	17.0	16.0	S	152480	Burkholderia ambifaria
0.0	35.0	0.0	S	603050	Malaciobacter mytili
0.0	7.0	7.0	S	152500	Burkholderia dolosa
0.0	1.0	1.0	S	267212	Neisseria bacilliformis
0.0	10.0	10.0	S	76759	Pseudomonas monteilii
0.0	56.0	56.0	S	76761	Pseudomonas veronii
0.0	25.0	25.0	S	80866	Delftia acidovorans
0.0	2.0	2.0	S	35814	Bordetella holmesii
0.0	3.0	3.0	S	44008	Enterococcus cecorum
0.0	6.0	6.0	S	44010	Mycobacterium conspicuum
0.0	5.0	5.0	S	656366	Arthrobacter alpinus
0.0	3.0	3.0	S	197614	Streptococcus pasteurianus
0.0	60.0	60.0	S	1756149	Elizabethkingia bruuniana
0.0	15.0	15.0	S	123899	Bordetella trematum
0.0	10.0	10.0	S	488446	Burkholderia latens
0.0	16.0	16.0	S	488447	Burkholderia contaminans
0.0	37.0	37.0	S	54291	Raoultella ornithinolytica
0.0	1.0	1.0	S	678932	Auritidibacter ignavus
0.0	2.0	2.0	S	76832	Myroides odoratimimus
0.0	2.0	2.0	S	93218	Pandoraea apista
0.0	41.0	41.0	S	93220	Pandoraea pnomenusa
0.0	1.0	1.0	S	93221	Pandoraea pulmonicola
0.0	1.0	1.0	S	93222	Pandoraea sputorum
0.0	1.0	1.0	S	2094119	Mycobacterium basiliense
0.0	6.0	6.0	S	82987	Tatumella ptyseos
0.0	1.0	0.0	S1	119857	Francisella tularensis subsp. holarctica
0.0	5.0	4.0	S	82996	Serratia plymuthica
0.0	6.0	6.0	S	13373	Burkholderia mallei
0.0	17.0	17.0	S	283734	Staphylococcus pseudintermedius
0.0	12.0	12.0	S	33889	Brevibacterium casei
0.0	25.0	25.0	S	158822	Cedecea neteri
0.0	3.0	3.0	S	158823	Cedecea lapagei
0.0	3.0	2.0	S	328813	Alistipes onderdonkii
0.0	127.0	112.0	S	158836	Enterobacter hormaechei
0.0	1.0	1.0	S	158849	Moellerella wisconsensis
0.0	12.0	12.0	S	60550	Burkholderia pyrrocinia
0.0	16.0	16.0	S	60552	Burkholderia vietnamiensis
0.0	3.0	3.0	S	863372	Herbaspirillum huttiense
0.0	2.0	2.0	S	1389713	Mycobacterium paragordonae
0.0	13.0	13.0	S	564369	Luteibacter anthropi
0.0	2.0	2.0	S	33945	Enterococcus avium
0.0	2.0	2.0	S	441500	Corynebacterium timonense
0.0	4.0	0.0	S	441501	Corynebacterium massiliense
0.0	6.0	6.0	S	158877	Yokenella regensburgei
0.0	3.0	3.0	S	521392	Helcobacillus massiliensis
0.0	1.0	1.0	S	93378	Edwardsiella hoshinae
0.0	29.0	21.0	S	101571	Burkholderia ubonensis
0.0	1.0	1.0	S	33987	Exiguobacterium aurantiacum
0.0	2.0	2.0	S	421058	Chryseobacterium oranimense
0.0	3.0	3.0	S	1871047	Chryseobacterium sp.
0.0	1.0	1.0	S	236753	Fastidiosipila sanguinis
0.0	2.0	2.0	S	31958	Amycolatopsis orientalis
0.0	25.0	25.0	S	2219225	Pseudomonas asiatica
0.0	1.0	1.0	S	1245	Leuconostoc mesenteroides
0.0	13.0	13.0	S	1270	Micrococcus luteus
0.0	2.0	2.0	S	1275	Kocuria rosea
0.0	15.0	15.0	S	1276	Kytococcus sedentarius
0.0	1.0	1.0	S1	888061	Desulfomicrobium orale DSM 12838
0.0	6.0	6.0	S	95485	Burkholderia stabilis
0.0	1.0	1.0	S	1283	Staphylococcus haemolyticus
0.0	3.0	3.0	S1	941322	Escherichia coli O25b:H4-ST131
0.0	1.0	1.0	S	34062	Moraxella osloensis
0.0	7.0	7.0	S	1697043	Bordetella sp. H567
0.0	30.0	29.0	S	40214	Acinetobacter johnsonii
0.0	10.0	10.0	S	40215	Acinetobacter junii
0.0	10.0	10.0	S	40216	Acinetobacter radioresistens
0.0	2.0	2.0	S	1304	Streptococcus salivarius
0.0	1.0	1.0	S	488729	Burkholderia metallica
0.0	7.0	7.0	S	488730	Burkholderia arboris
0.0	6.0	6.0	S	488731	Burkholderia seminalis
0.0	4.0	4.0	S	488732	Burkholderia diffusa
0.0	29.0	28.0	S	1307	Streptococcus suis
0.0	3.0	3.0	S	1311	Streptococcus agalactiae
0.0	6.0	6.0	S	1313	Streptococcus pneumoniae
0.0	9.0	9.0	S	1314	Streptococcus pyogenes
0.0	4.0	4.0	S	486698	Mycobacterium riyadhense
0.0	1.0	1.0	S	1326	Streptococcus acidominimus
0.0	3.0	3.0	S	1328	Streptococcus anginosus
0.0	2.0	2.0	S	1329	Streptococcus canis
0.0	1.0	1.0	S	156976	Corynebacterium riegelii
0.0	2.0	2.0	S	156980	Arthrobacter woluwensis
0.0	2.0	2.0	S	83262	Mycobacteroides immunogenum
0.0	1.0	1.0	S	1346	Streptococcus iniae
0.0	2.0	0.0	S	339268	Mycobacterium colombiense
0.0	36.0	34.0	S	1351	Enterococcus faecalis
0.0	13.0	12.0	S	1363	Lactococcus garvieae
0.0	11.0	10.0	S	208223	Kosakonia cowanii
0.0	42.0	42.0	S	208224	Enterobacter kobei
0.0	1.0	1.0	S	1377	Aerococcus viridans
0.0	131.0	131.0	S	1389922	Achromobacter mucicolens
0.0	10.0	10.0	S	1004901	Gordonia iterans
0.0	5.0	5.0	S	398694	Mycobacterium shinjukuense
0.0	6.0	6.0	S	1392	Bacillus anthracis
0.0	2.0	0.0	S	56689	Mycolicibacterium mucogenicum
0.0	5.0	2.0	S	1396	Bacillus cereus
0.0	5.0	5.0	S	13689	Sphingomonas paucimobilis
0.0	15.0	15.0	S	1405	Bacillus mycoides
0.0	1.0	1.0	S	1406	Paenibacillus polymyxa
0.0	1.0	1.0	S1	218496	Tropheryma whipplei TW08/27
0.0	48.0	47.0	S	40324	Stenotrophomonas maltophilia
0.0	8.0	8.0	S1	83334	Escherichia coli O157:H7
0.0	2.0	2.0	S	134537	Paraburkholderia fungorum
0.0	3.0	3.0	S	146827	Corynebacterium simulans
0.0	2.0	2.0	S	38289	Corynebacterium jeikeium
0.0	2.0	2.0	S	38290	Corynebacterium macginleyi
0.0	13.0	8.0	S	1428	Bacillus thuringiensis
0.0	13.0	2.0	S	38293	Photobacterium damselae
0.0	3.0	3.0	S	38313	Shewanella algae
0.0	1.0	1.0	S	560555	Mycobacterium mantenii
0.0	19.0	19.0	S	103855	Bordetella hinzii
0.0	1.0	1.0	S	28082	Legionella anisa
0.0	1.0	1.0	S	28087	Legionella sainthelensi
0.0	8.0	8.0	S	196024	Aeromonas dhakensis
0.0	8.0	8.0	S	28090	Acinetobacter lwoffii
0.0	142.0	134.0	S	28095	Burkholderia gladioli
0.0	3.0	3.0	S	558537	Delftia lacustris
0.0	24.0	24.0	S	134601	Mycolicibacterium goodii
0.0	45.0	43.0	S	1117645	Elizabethkingia anophelis
0.0	2.0	0.0	S	28110	Francisella philomiragia
0.0	11.0	7.0	S	54736	Salmonella bongori
0.0	1.0	1.0	S	28113	Bacteroides heparinolyticus
0.0	2.0	2.0	S	28112	Tannerella forsythia
0.0	112.0	101.0	S	1496	Clostridioides difficile
0.0	11.0	11.0	S	1502	Clostridium perfringens
0.0	5.0	5.0	S	607712	Neisseria shayeganii
0.0	1.0	1.0	S	28131	Prevotella intermedia
0.0	2.0	2.0	S1	271848	Burkholderia thailandensis E264
0.0	12.0	8.0	S	28141	Cronobacter sakazakii
0.0	2.0	2.0	S	87541	Aerococcus christensenii
0.0	4.0	4.0	S	28151	Serratia proteamaculans
0.0	6.0	6.0	S	67081	Mycolicibacterium alvei
0.0	1.0	1.0	S	28172	Vibrio metschnikovii
0.0	1.0	1.0	S2	216592	Escherichia coli 042
0.0	2.0	2.0	S	1549855	Haematospirillum jordaniae
0.0	1.0	1.0	S	65058	Corynebacterium ulcerans
0.0	154.0	116.0	S	28197	Aliarcobacter butzleri
0.0	4.0	4.0	S	2749991	Nocardia gipuzkoensis
0.0	28.0	26.0	S	28200	Aliarcobacter skirrowii
0.0	1.0	1.0	S	1583	Weissella confusa
0.0	1.0	1.0	S	400946	Wohlfahrtiimonas chitiniclastica
0.0	14.0	14.0	S	1287736	Achromobacter aegrifaciens
0.0	7.0	7.0	S1	222805	Mycobacterium intracellulare subsp. chimaera
0.0	1.0	1.0	S	61015	Staphylococcus succinus
0.0	21.0	21.0	S	69218	Enterobacter cancerogenus
0.0	4.0	2.0	S	1639	Listeria monocytogenes
0.0	1.0	1.0	S	1642	Listeria innocua
0.0	1.0	1.0	S	292462	Mycobacterium florentinum
0.0	1.0	1.0	S	1659	Actinomyces israelii
0.0	3.0	3.0	S	1661	Trueperella pyogenes
0.0	7.0	7.0	S	482957	Burkholderia lata
0.0	11.0	11.0	S	179879	Burkholderia anthina
0.0	13.0	13.0	S	206506	Kerstersia gyiorum
0.0	5.0	4.0	S	257708	Roseomonas gilardii
0.0	14.0	14.0	S	1710	Cellulosimicrobium cellulans
0.0	3.0	3.0	S	945844	Massilia oculi
0.0	2.0	1.0	S	1717	Corynebacterium diphtheriae
0.0	1.0	1.0	S1	1111732	Ignatzschineria larvae DSM 13226
0.0	2.0	2.0	S	1719	Corynebacterium pseudotuberculosis
0.02	1161.0	1161.0	S	394935	Chromobacterium haemolyticum
0.0	19.0	19.0	S	85693	Mycolicibacterium monacense
0.02	754.0	405.0	S	85698	Achromobacter xylosoxidans
0.0	10.0	10.0	S	2666183	Pseudomonas juntendi
0.0	49.0	49.0	S	83655	Leclercia adecarboxylata
0.01	319.0	319.0	S	126673	Mycolicibacterium doricum
0.0	1.0	1.0	S	394964	Corynebacterium hansenii
0.0	2.0	1.0	S	1764	Mycobacterium avium
0.0	8.0	8.0	S	1766	Mycolicibacterium fortuitum
0.0	11.0	4.0	S	1767	Mycobacterium intracellulare
0.0	3.0	3.0	S	1768	Mycobacterium kansasii
0.0	2.0	2.0	S	1769	Mycobacterium leprae
0.0	15.0	13.0	S	1773	Mycobacterium tuberculosis
0.0	3.0	1.0	S	1774	Mycobacteroides chelonae
0.0	3.0	3.0	S	679663	Corynebacterium canis
0.0	1.0	1.0	S	1780	Mycobacterium malmoense
0.0	1.0	1.0	S	1784	Mycobacterium simiae
0.0	1.0	1.0	S	1789	Mycobacterium xenopi
0.0	2.0	2.0	S	220927	Mycobacterium saskatchewanense
0.0	35.0	35.0	S	200451	Pseudomonas poae
0.0	11.0	11.0	S	1795	Mycolicibacterium neoaurum
0.0	1.0	1.0	S	102148	Solobacterium moorei
0.0	13.0	13.0	S	1797	Mycolicibacterium thermoresistibile
0.0	3.0	3.0	S	1802	Mycolicibacterium farcinogenes
0.0	2.0	2.0	S	71452	Enterococcus raffinosus
0.0	12.0	12.0	S	1824	Nocardia asteroides
0.0	18.0	14.0	S	28450	Burkholderia pseudomallei
0.0	8.0	7.0	S	1828	Rhodococcus fascians
0.0	1.0	1.0	S	169765	Mycobacterium lacus
0.0	4.0	4.0	S	1829	Rhodococcus rhodochrous
0.0	5.0	5.0	S	28454	Sphingobacterium multivorum
0.0	1.0	1.0	S	1833	Rhodococcus erythropolis
0.0	4.0	0.0	S	1852	Saccharomonospora viridis
0.0	1.0	1.0	S	343874	Empedobacter falsenii
0.0	61.0	59.0	S	87883	Burkholderia multivorans
0.0	10.0	10.0	S	1503054	Burkholderia stagnalis
0.0	7.0	7.0	S	1888	Streptomyces albus
0.0	14.0	14.0	S1	1300342	Dokdonella koreensis DS-123
0.0	2.0	2.0	S	462710	Microbacterium binotii
0.0	2.0	0.0	S	1911	Streptomyces griseus
0.0	2.0	2.0	S	544645	Butyricimonas virosa
0.0	1.0	1.0	S	44935	Vreelandella venusta
0.0	11.0	11.0	S	2058152	Klebsiella grimontii
0.0	1.0	1.0	S	110505	Mycobacterium heckeshornense
0.0	5.0	5.0	S	55211	Erwinia persicina
0.0	1.0	1.0	S	370622	Aureimonas altamirensis
0.0	2.0	2.0	S	108486	Corynebacterium falsenii
0.0	1.0	1.0	S	36808	Corynebacterium bovis
0.0	10.0	4.0	S	36809	Mycobacteroides abscessus
0.0	2.0	2.0	S	1993	Actinomadura madurae
0.0	10.0	0.0	S	36814	Mycolicibacterium rhodesiae
0.0	1.0	1.0	S	36821	Gordonia amarae
0.0	2.0	2.0	S	36822	Gordonia rubripertincta
0.0	16.0	16.0	S	198620	Pseudomonas koreensis
0.0	1.0	1.0	S	2014	Nocardiopsis dassonvillei
0.0	1.0	1.0	S1	169963	Listeria monocytogenes EGD-e
0.0	8.0	4.0	S	2035	Curtobacterium flaccumfaciens
0.0	7.0	7.0	S	1118202	Cruoricaptor ignavus
3.03	151385.0	151385.0	S	1882682	Microvirga ossetica
2.83	141662.0	0.0	S	372663	Isoptericola dokdonensis
2.66	132735.0	8132.0	S	593909	Mesorhizobium opportunistum
2.52	126012.0	126012.0	S	2067960	Pseudazoarcus pumilus
2.5	124959.0	124959.0	S	1868793	Jeotgalibaca porci
2.04	102146.0	102146.0	S	1891644	Epidermidibacterium keratini
1.91	95431.0	95431.0	S	2527983	Caulifigura coniformis
1.9	95086.0	20139.0	S	43948	Tolumonas auensis
1.68	84160.0	0.0	S	29405	Microlunatus phosphovorus
1.66	82774.0	82774.0	S	61648	Kluyvera intermedia
