abundance	clade_fragments_covered	number_fragments_assigned	rank	taxid	name
0.0	2.0	2.0	S	80866	Delftia acidovorans
0.0	2.0	2.0	S	44008	Enterococcus cecorum
0.04	82.0	82.0	S	207340	Roseomonas mucosa
0.01	19.0	19.0	S	656366	Arthrobacter alpinus
0.01	21.0	21.0	S	1756149	Elizabethkingia bruuniana
0.0	3.0	3.0	S	504	Kingella kingae
0.09	196.0	196.0	S	511	Alcaligenes faecalis
2.89	6632.0	6632.0	S	80878	Acidovorax temperans
2.23	5133.0	5133.0	S	252130	Uruburuella suis
2.01	4608.0	4608.0	S	1501662	Streptococcus parasuis
1.85	4252.0	4252.0	S	1904944	Stenotrophomonas sp. LM091
1.69	3889.0	3889.0	S	1537215	Pseudooceanicola algae
1.67	3835.0	3835.0	S	1868793	Jeotgalibaca porci
1.58	3622.0	3622.0	S	1482074	Hartmannibacter diazotrophicus
1.56	3577.0	3460.0	S	1622	Ligilactobacillus murinus
1.28	2932.0	2932.0	S	225991	Comamonas aquatica
1.18	2709.0	2709.0	S	216929	Mycolicibacterium psychrotolerans
